name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Budapest, MagyarorszГЎg",2020-01-17,-1.8,-3.4,-2.5,-1.8,-6.4,-4.6,-2.7,98.4,0,0,0,,0,0,32.4,10,103.3,1030.8,95.9,0.6,13,1.1,1,,2020-01-17T07:26:04,2020-01-17T16:21:42,0.75,Overcast,Cloudy skies throughout the day.,fog,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-18,-1.1,-2.4,-1.5,-1.1,-5.5,-3,-1.7,98.8,0,0,0,,0,0,,8.8,108.8,1027.4,98.9,2.1,4.7,0.4,0,,2020-01-18T07:25:20,2020-01-18T16:23:06,0.81,Overcast,Cloudy skies throughout the day.,cloudy,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-19,0,-1.1,-0.5,0,-2.7,-0.6,-0.6,99.3,0.027,100,8.33,"rain,snow",0,0,,7.2,62.4,1030.7,96,2.1,9.2,0.7,1,,2020-01-19T07:24:34,2020-01-19T16:24:31,0.86,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-20,3.6,-1.2,0.5,3.1,-2.4,0,0,97.6,0.022,100,4.17,"rain,snow",0,0,,6.7,220.4,1043.9,48.2,1.6,28.7,2.5,2,,2020-01-20T07:23:45,2020-01-20T16:25:58,0.91,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-21,-0.3,-2.4,-1.2,-0.4,-4.7,-3.3,-1.4,98.9,0,0,0,,0,0,,10.3,234.9,1044.8,80.7,1.5,32.4,2.9,2,,2020-01-21T07:22:54,2020-01-21T16:27:25,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-22,-0.2,-3.6,-1.6,-0.5,-6.1,-4.1,-2.4,94.3,0,0,0,,0,0,28.8,14.1,263.5,1033.6,75.5,5.4,15.4,1.4,1,,2020-01-22T07:22:00,2020-01-22T16:28:53,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-23,5,-6.6,-1.5,3,-9.5,-2.9,-3.6,87,0,0,0,,0,0,,10.3,182.5,1035.1,12.2,6.4,55.2,4.7,3,,2020-01-23T07:21:04,2020-01-23T16:30:22,0.99,Clear,Clear conditions throughout the day.,clear-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-24,-1.1,-5.3,-2.6,-1.3,-8.2,-4.2,-3,97.3,0,0,0,,0,0,,7.9,108,1030,67.8,2,17.8,1.5,1,,2020-01-24T07:20:05,2020-01-24T16:31:52,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-25,-0.9,-2,-1.4,-0.9,-4.6,-2.2,-2,95.6,0,0,0,,0,0,,7.5,197.4,1025.6,100,3,14.6,1.3,1,,2020-01-25T07:19:05,2020-01-25T16:33:22,0,Overcast,Cloudy skies throughout the day.,cloudy,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-26,0.7,-1.7,-0.6,-0.2,-4.4,-2.4,-1.2,95.8,0,0,0,,0,0,,8.5,82.6,1024.1,100,3.1,13.6,1.1,1,,2020-01-26T07:18:02,2020-01-26T16:34:53,0.01,Overcast,Cloudy skies throughout the day.,cloudy,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
