name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Budapest, MagyarorszГЎg",2021-11-05,11.6,4.4,8.9,11.6,4.4,7.9,2.4,64.4,0,0,0,,0,0,,16.5,318.7,1020.9,75.1,10,45.8,4,2,,2021-11-05T06:33:40,2021-11-05T16:20:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-06,12.7,2.8,8.3,12.7,0.2,7.6,2.4,67.9,0,0,0,,0,0,,18.9,316.4,1029.1,46.6,10,65.1,5.6,4,,2021-11-06T06:35:11,2021-11-06T16:19:01,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-07,11.6,7.2,9,11.6,7.1,8.9,5.2,77.7,0.214,100,8.33,rain,0,0,,8.2,185.6,1022,71.1,9.3,36.8,3.3,2,,2021-11-07T06:36:42,2021-11-07T16:17:37,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-08,10.6,2,8.4,10.6,2,7.7,3,68.9,0.01,100,8.33,rain,0,0,,22.2,307.1,1021.2,46.6,9.5,31.4,2.9,2,,2021-11-08T06:38:13,2021-11-08T16:16:15,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-11-09,13.1,0.6,6.9,13.1,-1,6.8,2.2,73.9,0,0,0,,0,0,,8,348.4,1030.7,22.2,10.4,58.1,5,3,,2021-11-09T06:39:43,2021-11-09T16:14:54,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-11-10,9.1,1.8,4.9,7.7,-0.9,3.8,3,87.7,0,0,0,,0,0,,11,126.3,1034.6,42.5,4.8,44.5,3.8,3,,2021-11-10T06:41:14,2021-11-10T16:13:36,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-11-11,10,-0.2,5.4,9,-1.8,4.4,2.3,81.8,0,0,0,,0,0,,14.7,101,1029.1,37.6,6.4,50.3,4.3,3,,2021-11-11T06:42:44,2021-11-11T16:12:20,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,11880099999,E3429,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-11-12,12.1,0,5.2,12.1,0,5,1.5,79.1,0,0,0,,0,0,,8.3,77.9,1024.1,27.8,6.5,50.4,4.4,3,,2021-11-12T06:44:14,2021-11-12T16:11:05,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,11880099999,E3429,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-11-13,4.5,0.3,3.5,4.5,-1.3,2.4,2.8,95.7,0,0,0,,0,0,,9.1,122,1021.4,98.2,1.7,6.2,0.4,0,,2021-11-13T06:45:44,2021-11-13T16:09:53,0.35,Overcast,Cloudy skies throughout the day.,cloudy,"12847099999,12843099999,12846099999,LHBP,12840099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-14,8.9,4.1,5.9,8.3,2.9,5.2,4.4,90.3,0.096,100,8.33,rain,0,0,,8,9.9,1022.9,47.4,4.3,22.6,1.9,1,,2021-11-14T06:47:13,2021-11-14T16:08:42,0.4,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-15,11.7,5.4,8.4,11.7,5.4,8.3,5.6,83.1,0,0,0,,0,0,,8,52.5,1027.3,48,7,22.1,2,1,,2021-11-15T06:48:42,2021-11-15T16:07:34,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-16,10,2.7,6.4,9.9,1.3,5.9,3.8,84,0,0,0,,0,0,,8,68,1028.1,48.7,5.5,29.6,2.7,2,,2021-11-16T06:50:11,2021-11-16T16:06:28,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-17,9.6,3.5,6.7,9.6,2.4,6,3.3,79.6,0,0,0,,0,0,,11.6,45.9,1024.2,86.1,6.8,35.4,2.9,2,,2021-11-17T06:51:39,2021-11-17T16:05:24,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-18,10.1,2.7,7.4,10.1,2.7,5.6,2.5,71.7,0,0,0,,0,0,36,26.3,310,1027.2,57.2,9.7,52,4.4,3,,2021-11-18T06:53:07,2021-11-18T16:04:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-19,11,6.1,9.2,11,3.3,8,4.2,71,0.013,100,4.17,rain,0,0,43.2,28.1,297.8,1025.7,76.1,10,31.4,2.7,2,,2021-11-19T06:54:34,2021-11-19T16:03:23,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-20,12.7,3.4,10.1,12.7,3.4,9.5,5.3,72.8,0,0,0,,0,0,39.6,34,303.8,1022.3,29.9,9.7,51.3,4.4,3,,2021-11-20T06:56:00,2021-11-20T16:02:26,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-21,8.9,-0.3,4.9,7.9,-0.3,4.2,3.5,91.5,0,0,0,,0,0,,9.8,76.1,1015,73.5,2.3,25.5,2.2,2,,2021-11-21T06:57:25,2021-11-21T16:01:31,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-22,8.1,5.6,6.9,7.6,4.9,6.2,5.1,88.4,0,0,0,,0,0,,10.6,350.7,1016.4,77.5,5.6,8,0.6,0,,2021-11-22T06:58:50,2021-11-22T16:00:39,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-23,7.8,-2.4,4.5,7,-2.4,3.1,-0.1,73.1,0.002,100,4.17,rain,0,0,25.2,16.4,302.1,1025.5,48.6,8.7,44.9,3.9,3,,2021-11-23T07:00:14,2021-11-23T15:59:49,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,11880099999,E3429,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-11-24,6.7,-4.7,0.6,6.7,-4.7,0.5,-3,78.5,0,0,0,,0,0,,7.6,78.3,1026.5,0,8.8,43,3.6,3,,2021-11-24T07:01:37,2021-11-24T15:59:02,0.61,Clear,Clear conditions throughout the day.,clear-day,"12847099999,12843099999,12846099999,LHBP,E3429,12840099999,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-25,5.6,-2.8,2.1,4.7,-5,1,-0.3,84.4,0,0,0,,0,0,,11.6,71.1,1017.2,55.8,7.3,13.5,1,1,,2021-11-25T07:02:59,2021-11-25T15:58:17,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-26,6.1,2.1,4.5,6,-1.2,2.8,2.7,88.6,8.084,100,8.33,rain,0,0,25.2,14.6,93.8,1000.6,77,7.8,8.8,0.8,1,,2021-11-26T07:04:20,2021-11-26T15:57:35,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-27,5.1,1.5,3.4,5,-1.5,1.5,0.8,83.1,0.297,100,4.17,rain,0,0,,16.3,295.2,999,72.4,9.1,21.8,1.9,1,,2021-11-27T07:05:39,2021-11-27T15:56:55,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-28,9,3.1,5.8,8.6,0,4.6,4.9,93.8,5.534,100,16.67,rain,0,0,,17.8,1.9,996.4,94.4,5.5,19.8,1.7,2,,2021-11-28T07:06:58,2021-11-28T15:56:19,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-29,4.1,0.6,2.6,-0.1,-3.9,-1.6,-0.8,78.1,0,0,0,,0,0,43.2,32.8,306,999.3,82.9,10,29,2.5,2,,2021-11-29T07:08:15,2021-11-29T15:55:44,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-11-30,5.2,1.1,2.8,1.5,-3.7,-1.3,-1.9,72.2,0.195,100,4.17,rain,0,0,43.2,30.2,280.5,1008.8,62.2,10,31.7,2.7,2,,2021-11-30T07:09:31,2021-11-30T15:55:13,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-01,8.2,3.5,6.3,6.9,0,3.8,2.3,75.8,4.289,100,8.33,rain,0,0,36,28,236,1006.5,72.6,10,18.8,1.5,1,,2021-12-01T07:10:46,2021-12-01T15:54:44,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-02,7.1,5,5.9,7.1,3.3,5.3,4.1,88.2,11.009,100,12.5,rain,0,0,,12.7,136.2,1001.4,80.4,8.7,6.3,0.5,0,,2021-12-02T07:11:59,2021-12-02T15:54:18,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12840099999,12836099999,12839099999"
